"Image of the issue","Address/landmark/house number","Ward name/number","Date of recording the image","Time of recording the image","Observations","Latitude","Longitude","LatLngs","Type","Entry Type"
"http://mapunitygroups.com//uploads/tmp/1471875614-2005-6895/Untitled.png","8th Main west, HRBR Layout 1st Block","Banaswadi","11/08/2016","13:15","Gets cleared daily but comes back, Garbage is burnt here regularly","13.0196500911142","77.6448725536466","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471875770-2005-2758/thumb_IMG_9755_1024.jpg","4th D cross, HRBR Layout 2nd Block","Banaswadi","11/08/2016","13:20","Gets cleared daily but comes back, BBMP/ sweepers dump waste here, Garbage is burnt here regularly","13.0219347205908","77.6428401097655","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471875861-2005-3446/thumb_IMG_9756_1024.jpg","8th Main East, HRBR Layout 1st Block","Banaswadi","11/08/2016","13:30","Gets cleared daily but comes back, BBMP/ sweepers dump waste here","13.0155093506641","77.6448517665267","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471875953-2005-1592/thumb_IMG_9757_1024.jpg","4th Cross, HRBR Layout 2nd Block","Banaswadi","11/08/2016","13:35","Gets cleared daily but comes back, BBMP/ sweepers dump waste here","13.0214545385632","77.6413390785456","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471876246-2005-5914/thumb_IMG_9758_1024.jpg","8th Main West, HRBR Layout 1st Block","Banaswadi","11/08/2016","13:40","Gets cleared daily but comes back, BBMP/ sweepers dump waste here","13.0173259146919","77.6447558775544","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471876408-2005-2360/thumb_IMG_9760_1024.jpg","2nd G cross, HRBR layout 1st Block","Banaswadi","11/08/2016","13:45","Gets cleared daily but comes back, BBMP/ sweepers dump waste here","13.0169100759088","77.6478923857212","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471876515-2005-2140/thumb_IMG_9761_1024.jpg","2nd K cross, HRBR Layout 1st Block","Banaswadi","11/08/2016","13:50","Gets cleared daily but comes back, BBMP/ sweepers dump waste here","13.017825377634","77.64852873981","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471876591-2005-4410/thumb_IMG_9762_1024.jpg","9th E Main, HRBR Layout 1 st Block","Banaswadi","11/08/2016","13:50","Gets cleared daily but comes back","13.019409344688","77.650954797864","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471876716-2005-9522/thumb_IMG_9764_1024.jpg","Intersection of  9th A Main and 5th A Main, HRBR Layout 1st block","Banaswadi","11/08/2016","13:50","Gets cleared daily but comes back","13.0217380747301","77.6479007676244","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471876784-2005-9622/thumb_IMG_9765_1024.jpg","Intersection of 9th A main and 3rd cross road, HRBR Layout 1st block. next to Lokande Hospital","Banaswadi","11/08/2016","14:00","Gets cleared daily but comes back, BBMP/ sweepers dump waste here, Garbage is burnt here regularly","13.0183806982322","77.6478833332658","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471876860-2005-2778/thumb_IMG_9766_1024.jpg","3rd Cross road, HRBR Layout 1st Block","Banaswadi","11/08/2016","14:05","Gets cleared daily but comes back, BBMP/ sweepers dump waste here","13.0183147131439","77.648819424212","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471927204-2005-4845/Image_of_the_blackspot.jpg","Hoodi bus stop","82","23/08/2016","10:09","This Is A Ward Boundary Area","12.9923371104523","77.7165918052197","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471934826-2005-8116/IMG_20160807_073628.jpg","5th Main 7th Cross corner","Kadu Malleshwara","07/08/2016","08:00","Gets cleared but comes back","12.998253778788591","77.56775602698326","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1475770957-2676-9408/WhatsApp_Image_2016-10-06_at_9.13.47_PM.jpeg","5th Main 7th Cross corner","Kadu Malleshwara","06/10/2016","08:00","This is cleared/fixed","12.998253778788591","77.56775602698326","","point","Timeline"
"http://mapunitygroups.com//uploads/tmp/1471935170-2005-4789/IMG_20160807_074033.jpg","6th cross, between 4th and 5th main","Kadumalleshwara","07/08/2016","09:00","Gets cleared but comes back","12.997596160368444","77.56781503558159","","point","Original"
